2021-06-18 09:44:03,891 Kiwoom initializing...
2021-06-18 09:44:49,119 Kiwoom log in success
2021-06-18 09:44:49,120 Account information
2021-06-18 09:44:49,629 Deposit information (Futures)
2021-06-18 09:44:49,675 Portfolio information (Futures) (No item found)
2021-06-18 09:56:08,676 [93mALGORITHM STARTED [97m
2021-06-18 09:56:11,248 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:11,249 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:13,748 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:13,758 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:13,814 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:13,815 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:14,051 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:14,051 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:14,656 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: -0.005
2021-06-18 09:56:14,665 Diff5: -0.04, DiffDifff5[-1]:0.03, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.005
2021-06-18 09:56:16,749 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: -0.005
2021-06-18 09:56:16,749 Diff5: -0.04, DiffDifff5[-1]:0.03, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.005
2021-06-18 09:56:19,241 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: -0.005
2021-06-18 09:56:19,241 Diff5: -0.04, DiffDifff5[-1]:0.03, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.005
2021-06-18 09:56:24,350 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:24,360 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:29,152 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: -0.005
