2021-06-28 09:35:42,513 Kiwoom initializing...
2021-06-28 09:36:31,831 Kiwoom log in success
2021-06-28 09:36:31,831 Account information
2021-06-28 09:36:32,344 Deposit information (Futures)
2021-06-28 09:36:32,374 Portfolio information (Futures)
2021-06-28 09:36:37,912 Stop Charting
2021-06-28 09:38:00,002 Send order (SELL) command committed successfully KOA_CREATE_FO_ORD
2021-06-28 09:38:00,050 Order execution(-¸Åµµ) F 202109(Á¢¼ö), order:1, executed_sum:0, open:1, price:0.0, number:9959, original:0
2021-06-28 09:38:00,053 Balance information
2021-06-28 09:38:00,055 Order execution(-¸Åµµ) F 202109(Ã¼°á), order:1, executed_sum:1, open:0, price:0.0, number:9959, original:0
2021-06-28 09:38:00,058 Balance information
2021-06-28 09:38:08,170 [93mALGORITHM STARTED [97m
2021-06-28 09:38:08,671 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:13,758 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:13,762 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:13,766 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:13,771 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:22,275 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:22,340 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:22,439 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:22,450 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:22,455 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:22,964 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.03
2021-06-28 09:38:25,151 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.03
2021-06-28 09:38:26,072 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:26,238 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:27,066 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:31,364 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:31,659 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:32,858 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:33,562 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:33,863 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:34,660 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:38,060 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:39,165 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:39,974 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:40,114 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:42,551 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,451 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,455 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,556 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,560 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,564 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:48,663 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:49,570 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:49,868 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:51,276 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
