2021-06-29 09:38:52,646 Kiwoom initializing...
2021-06-29 09:39:32,516 Kiwoom log in success
2021-06-29 09:39:32,517 Account information
2021-06-29 09:39:33,021 Deposit information (Futures)
2021-06-29 09:39:33,051 Portfolio information (Futures)
2021-06-29 09:44:02,767 Send order (BUY) command committed successfully KOA_CREATE_FO_ORD
2021-06-29 09:44:03,044 Order execution(+¸Å¼ö) F 202109(Á¢¼ö), order:1, executed_sum:0, open:1, price:0.0, number:11326, original:0
2021-06-29 09:44:03,046 Balance information
2021-06-29 09:44:03,242 Order execution(+¸Å¼ö) F 202109(Ã¼°á), order:1, executed_sum:1, open:0, price:0.0, number:11326, original:0
2021-06-29 09:44:03,245 Balance information
2021-06-29 09:44:08,327 [93mALGORITHM STARTED [97m
2021-06-29 09:44:08,471 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:08,474 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:08,550 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:12,150 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:12,948 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:15,261 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:17,450 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:18,851 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:19,941 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:20,046 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:20,049 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
