Time,Price
20201228090000,51000
20201228090030,50700
20201228090100,50700
20201228090130,50800
20201228090200,50600
20201228090230,50400
20201228090300,50500
20201228090330,50200
20201228090400,50400
20201228090430,50200
20201228090500,50200
20201228090530,50300
20201228090600,50200
20201228090630,50300
20201228090700,50100
20201228090730,50200
20201228090800,50300
20201228090830,50500
20201228090900,50500
20201228090930,50300
20201228091000,50200
20201228091030,50300
20201228091100,50200
20201228091130,50100
20201228091200,50100
20201228091230,50200
20201228091300,50300
20201228091330,50200
20201228091400,50200
20201228091430,50100
20201228091500,50000
20201228091530,50100
20201228091600,50000
20201228091630,50100
20201228091700,50100
20201228091730,50000
20201228091800,50200
20201228091830,50000
20201228091900,50000
20201228091930,50100
20201228092000,50100
20201228092030,50200
20201228092100,50200
20201228092130,50100
20201228092200,50200
20201228092230,50100
20201228092300,50100
20201228092330,50200
20201228092400,50200
20201228092430,50100
20201228092500,50100
20201228092530,50200
20201228092600,50000
20201228092630,50200
20201228092700,50200
20201228092730,50000
20201228092800,50000
20201228092830,50100
20201228092900,50100
20201228092930,50100
20201228093000,50000
20201228093030,49950
20201228093100,49950
20201228093130,50100
20201228093200,50200
20201228093230,49950
20201228093300,49900
20201228093330,49750
20201228093400,49750
20201228093430,49850
20201228093500,49850
20201228093530,50200
20201228093600,49950
20201228093630,50000
20201228093700,50000
20201228093730,49950
20201228093800,50000
20201228093830,49950
20201228093900,49950
20201228093930,50000
20201228094000,50000
20201228094030,49950
20201228094100,49950
20201228094130,49700
20201228094200,49750
20201228094230,49850
20201228094300,49850
20201228094330,49750
20201228094400,49800
20201228094430,49900
20201228094500,49800
20201228094530,49900
20201228094600,49850
20201228094630,49900
20201228094700,49900
20201228094730,49900
20201228094800,49850
20201228094830,49800
20201228094900,49800
20201228094930,49850
20201228095000,49850
20201228095030,49800
20201228095100,49800
20201228095130,50000
20201228095200,49900
20201228095230,49900
20201228095300,49850
20201228095330,49900
20201228095400,49850
20201228095430,49900
20201228095500,49850
20201228095530,49850
20201228095600,49850
20201228095630,49800
20201228095700,49800
20201228095730,49800
20201228095800,49800
20201228095830,49950
20201228095900,49850
20201228095930,49950
20201228100000,49950
20201228100030,50000
20201228100100,49950
20201228100130,50000
20201228100200,50000
20201228100230,50000
20201228100300,50000
20201228100330,50000
20201228100400,50000
20201228100430,49950
20201228100500,50000
20201228100530,50000
20201228100600,50000
20201228100630,50000
20201228100700,50000
20201228100730,49950
20201228100800,49950
20201228100830,49950
20201228100900,49950
20201228100930,49900
20201228101000,49900
20201228101030,49900
20201228101100,49900
20201228101130,49850
20201228101200,49900
20201228101230,49900
20201228101300,49900
20201228101330,49950
20201228101400,49950
20201228101430,49950
20201228101500,50000
20201228101530,50000
20201228101600,50000
20201228101630,49950
20201228101700,49950
20201228101730,49950
20201228101800,49950
20201228101830,49850
20201228101900,49900
20201228101930,49950
20201228102000,49950
20201228102030,49950
20201228102100,49950
20201228102130,50000
20201228102200,49900
20201228102230,49950
20201228102300,49950
20201228102330,50000
